ISSN,Title,Business Model,USD,EUR,GBP,JPY,ASJC Code(S)
0735-6757,The American Journal of Emergency Medicine,Hybrid,3820.00,"3,480","3,060","462,260",No Match
0196-6553,American Journal of Infection Control,Hybrid,3090.00,"2,820","2,470","373,920",No Match
0272-6386,American Journal of Kidney Diseases,Hybrid,3700.00,"3,370","2,960","447,740",No Match
2667-0364,American Journal of Medicine Open,Open access,2480.00,"2,260","1,990","300,100",No Match
0002-9378,American Journal of Obstetrics and Gynecology,Hybrid,5250.00,"4,790","4,200","635,300",No Match
2589-9333,American Journal of Obstetrics & Gynecology MFM,Hybrid,3140.00,"2,860","2,510","379,970",No Match
0002-9394,American Journal of Ophthalmology,Hybrid,4170.00,"3,800","3,340","504,610",No Match
2451-9936,American Journal of Ophthalmology Case Reports,Open access,1550.00,"1,410","1,240","187,570",No Match
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,Hybrid,4070.00,"3,710","3,260","492,510",No Match
0196-0709,American Journal of Otolaryngology,Hybrid,2150.00,"1,960","1,720","260,170",No Match
0002-9459,American Journal of Pharmaceutical Education,Hybrid,2400.00,"2,190","1,920","290,420",No Match
2666-6677,American Journal of Preventive Cardiology,Open access,1850.00,"1,690","1,480","223,870",No Match
0749-3797,American Journal of Preventive Medicine,Hybrid,3300.00,"3,010","2,640","399,330",No Match
2215-0390,Ampersand,Open access,1530.00,"1,400","1,220","185,150",No Match
1075-9964,Anaerobe,Hybrid,3200.00,"2,920","2,560","387,230",No Match
2352-5568,Anaesthesia Critical Care & Pain Medicine,Hybrid,3050.00,"2,780","2,440","369,080",No Match
0365-0596,Anais Brasileiros de Dermatologia,Open access,1700.00,"1,550","1,360","205,720",No Match
1695-4033,Anales de Pediatría,Subsidised,**,**,**,**,No Match
2341-2879,Anales de Pediatría (English Edition),Subsidised,**,**,**,**,No Match
2213-6657,Analytic Methods in Accident Research,Hybrid,4700.00,"4,290","3,760","568,750",No Match
0003-2670,Analytica Chimica Acta,Hybrid,4070.00,"3,710","3,260","492,510",No Match
2590-1346,Analytica Chimica Acta: X,Open access,1850.00,"1,690","1,480","223,870",No Match
0003-2697,Analytical Biochemistry,Hybrid,3350.00,"3,060","2,680","405,380",No Match
2352-5800,Anesthésie & Réanimation,Hybrid,3050.00,"2,780","2,440","369,080",No Match
1751-7311,Animal,Open access,1900.00,"1,733","1,520","229,920",No Match
2772-6940,Animal - Open Space,Open access,1530.00,"1,400","1,230","185,150",No Match
0003-3472,Animal Behaviour,Hybrid,2740.00,"2,500","2,190","331,570",No Match
0377-8401,Animal Feed Science and Technology,Hybrid,3030.00,"2,760","2,430","366,660",No Match
2405-6545,Animal Nutrition,Subsidised,**,**,**,**,No Match
0378-4320,Animal Reproduction Science,Hybrid,3660.00,"3,340","2,930","442,900",No Match
2950-2489,Animals and Zoonoses,Subsidised,**,**,**,**,No Match
0003-4266,Annales d'Endocrinologie,Hybrid,3140.00,"2,860","2,510","379,970",No Match
0294-1260,Annales de Chirurgie Plastique Esthétique,Hybrid,2630.00,"2,400","2,110","318,260",No Match
0151-9638,Annales de Dermatologie et de Vénéréologie,Hybrid,1980.00,"1,810","1,590","239,600",No Match
0242-6498,Annales de Pathologie,Hybrid,1990.00,"1,820","1,590","240,810",No Match
1879-7261,Annales françaises d’Oto-rhino-laryngologie et de Pathologie Cervico-faciale,Hybrid,2950.00,"2,690","2,360","356,980",No Match
0003-4487,"Annales Médico-psychologiques, revue psychiatrique",Hybrid,2520.00,"2,300","2,020","304,950",No Match
0003-4509,Annales Pharmaceutiques Françaises,None,**,**,**,**,No Match
2666-9641,Annals of 3D Printed Medicine,Open access,2060.00,"1,880","1,650","249,280",No Match
0570-1783,Annals of Agricultural Sciences,Open access,**,**,**,**,No Match
1081-1206,"Annals of Allergy, Asthma & Immunology",Hybrid,3000.00,"2,740","2,400","363,030",No Match
0940-9602,Annals of Anatomy - Anatomischer Anzeiger,Hybrid,3850.00,"3,510","3,080","465,890",No Match
1092-9134,Annals of Diagnostic Pathology,Hybrid,3380.00,"3,080","2,710","409,010",No Match
0196-0644,Annals of Emergency Medicine,Hybrid,3850.00,"3,510","3,080","465,890",No Match
1047-2797,Annals of Epidemiology,Hybrid,3660.00,"3,340","2,930","442,900",No Match
1665-2681,Annals of Hepatology,Open access,1500.00,"1,370","1,200","181,520",No Match
2049-0801,Annals of Medicine and Surgery,Open access,1850.00,"1,690","1,480","223,870",No Match
0306-4549,Annals of Nuclear Energy,Hybrid,2500.00,"2,280","2,000","302,530",No Match
0923-7534,Annals of Oncology,Hybrid,4840.00,"4,410","3,870","585,690",No Match
1877-0657,Annals of Physical and Rehabilitation Medicine,Hybrid,4030.00,"3,680","3,230","487,670",No Match
0003-4916,Annals of Physics,Hybrid,2980.00,"2,720","2,390","360,610",No Match
0168-0072,Annals of Pure and Applied Logic,Hybrid,3420.00,"3,120","2,740","413,850",No Match
0003-4967,Annals of the Rheumatic Diseases,Hybrid,4870.00,"4,446","3,900","589,870",No Match
2772-9931,Annals of Thoracic Surgery Short Reports,Open access,975.00,890,780,"117,980",No Match
0160-7383,Annals of Tourism Research,Hybrid,3810.00,"3,480","3,050","461,050",No Match
2666-9579,Annals of Tourism Research Empirical Insights,Open access,1510.00,"1,380","1,210","182,730",No Match
0890-5096,Annals of Vascular Surgery,Hybrid,3460.00,"3,160","2,770","418,690",No Match
2772-6878,Annals of Vascular Surgery - Brief Reports and Innovations,Open access,1450.00,"1,320","1,160","175,460",No Match
1367-5788,Annual Reviews in Control,Hybrid,3760.00,"3,430","3,010","455,000",No Match
2213-3054,Anthropocene,Hybrid,3500.00,"3,190","2,800","423,540",No Match
0166-3542,Antiviral Research,Hybrid,4040.00,"3,680","3,230","488,880",No Match
0195-6663,Appetite,Hybrid,4030.00,"3,680","3,230","487,670",No Match
2666-352X,Applications in Energy and Combustion Science,Open access,1860.00,"1,700","1,490","225,080",No Match
2666-4968,Applications in Engineering Science,Open access,2360.00,"2,150","1,890","285,580",No Match
0003-682X,Applied Acoustics,Hybrid,3710.00,"3,380","2,970","448,950",No Match
1063-5203,Applied and Computational Harmonic Analysis,Hybrid,3060.00,"2,790","2,450","370,290",No Match
0168-1591,Applied Animal Behaviour Science,Hybrid,3090.00,"2,820","2,470","373,920",No Match
2590-2865,Applied Animal Science,Open access,1850.00,"1,690","1,480","223,870",No Match
0926-860X,Applied Catalysis A: General,Hybrid,3600.00,"3,280","2,880","435,640",No Match
0926-3373,Applied Catalysis B: Environmental,Hybrid,5510.00,"5,030","4,410","666,770",No Match
2950-6484,Applied Catalysis O: Open,Open access,2140.00,"1,950","1,710","258,960",No Match
0169-1317,Applied Clay Science,Hybrid,3700.00,"3,370","2,960","447,740",No Match
2590-1974,Applied Computing and Geosciences,Open access,1990.00,"1,820","1,590","240,810",No Match
2666-7991,Applied Corpus Linguistics,Hybrid,1400.00,"1,280","1,120","169,410",No Match
0306-2619,Applied Energy,Hybrid,4300.00,"3,920","3,440","520,340",No Match
0003-6870,Applied Ergonomics,Hybrid,3400.00,"3,100","2,720","411,430",No Match
2772-5022,Applied Food Research,Open access,1770.00,"1,610","1,420","214,190",No Match
0883-2927,Applied Geochemistry,Hybrid,3380.00,"3,080","2,710","409,010",No Match
0143-6228,Applied Geography,Hybrid,3020.00,"2,750","2,420","365,450",No Match
2352-9407,Applied Materials Today,Hybrid,4070.00,"3,710","3,260","492,510",No Match
0307-904X,Applied Mathematical Modelling,Hybrid,4180.00,"3,810","3,350","505,820",No Match
0096-3003,Applied Mathematics and Computation,Hybrid,3370.00,"3,070","2,700","407,800",No Match
0893-9659,Applied Mathematics Letters,Hybrid,3690.00,"3,370","2,950","446,530",No Match
0168-9274,Applied Numerical Mathematics,Hybrid,1560.00,"1,420","1,250","188,780",No Match
0897-1897,Applied Nursing Research,Hybrid,3580.00,"3,270","2,870","433,220",No Match
0141-1187,Applied Ocean Research,Hybrid,2500.00,"2,280","2,000","302,530",No Match
0969-8043,Applied Radiation and Isotopes,Hybrid,2980.00,"2,720","2,390","360,610",No Match
1568-4946,Applied Soft Computing,Hybrid,3620.00,"3,300","2,900","438,060",No Match
0929-1393,Applied Soil Ecology,Hybrid,4000.00,"3,650","3,200","484,040",No Match
0169-4332,Applied Surface Science,Hybrid,3820.00,"3,480","3,060","462,260",No Match
2666-5239,Applied Surface Science Advances,Open access,2290.00,"2,090","1,830","277,110",No Match
1359-4311,Applied Thermal Engineering,Hybrid,3520.00,"3,210","2,820","425,960",No Match
2666-5069,Apunts Sports Medicine,Open access,2190.00,"2,000","1,760","265,010",No Match
0144-8609,Aquacultural Engineering,Hybrid,3100.00,"2,830","2,480","375,130",No Match
0044-8486,Aquaculture,Hybrid,3800.00,"3,470","3,040","459,840",No Match
2468-550X,Aquaculture and Fisheries,Subsidised,**,**,**,**,No Match
2352-5134,Aquaculture Reports,Open access,2240.00,"2,040","1,790","271,060",No Match
0304-3770,Aquatic Botany,Hybrid,2940.00,"2,680","2,350","355,770",No Match
0166-445X,Aquatic Toxicology,Hybrid,3220.00,"2,940","2,580","389,650",No Match
1687-1979,Arab Journal of Gastroenterology,Hybrid,2850.00,"2,600","2,280","344,880",No Match
1878-5352,Arabian Journal of Chemistry,Open access,1490.00,"1,360","1,190","180,300",No Match
2352-2267,Archaeological Research in Asia,Hybrid,2670.00,"2,440","2,140","323,100",No Match
0929-693X,Archives de Pédiatrie,Hybrid,2610.00,"2,380","2,090","315,840",No Match
1261-694X,Archives des Maladies du Cœur et des Vaisseaux - Pratique,Hybrid,1840.00,"1,680","1,470","222,660",No Match
1775-8785,Archives des Maladies Professionnelles et de l’Environnement,Hybrid,2490.00,"2,270","1,990","301,310",No Match
0003-9861,Archives of Biochemistry and Biophysics,Hybrid,2940.00,"2,680","2,350","355,770",No Match
1875-2136,Archives of Cardiovascular Diseases,Hybrid,3210.00,"2,930","2,570","388,440",No Match
0167-4943,Archives of Gerontology and Geriatrics,Hybrid,3470.00,"3,160","2,780","419,900",No Match
2950-3078,Archives of Gerontology and Geriatrics Plus,Open access,2100.00,"1,920","1,680","254,120",No Match
2950-3949,Archives of Legal Medicine,Hybrid,2510.00,"2,290","2,010","303,740",No Match
0188-4409,Archives of Medical Research,Hybrid,2750.00,"2,510","2,200","332,780",No Match
0003-9969,Archives of Oral Biology,Hybrid,3650.00,"3,330","2,920","441,690",No Match
0003-9993,Archives of Physical Medicine and Rehabilitation,Hybrid,4000.00,"3,650","3,200","484,040",No Match
0883-9417,Archives of Psychiatric Nursing,Hybrid,3460.00,"3,160","2,770","418,690",No Match
2590-1095,Archives of Rehabilitation Research and Clinical Translation,Open access,2500.00,"2,280","2,000","302,530",No Match
0300-2896,Archivos de Bronconeumología,Hybrid,3290.00,"3,000","2,630","398,120",No Match
0365-6691,Archivos de la Sociedad Española de Oftalmología,Hybrid,2590.00,"2,360","2,070","313,420",No Match
2173-5794,Archivos de la Sociedad Española de Oftalmología (English Edition),Hybrid,2350.00,"2,140","1,880","284,370",No Match
2590-0056,Array,Open access,1640.00,"1,500","1,310","198,460",No Match
2352-3441,Arthroplasty Today,Open access,2500.00,"2,280","2,000","302,530",No Match
1467-8039,Arthropod Structure & Development,Hybrid,3180.00,"2,900","2,550","384,810",No Match
0749-8063,Arthroscopy: the Journal of Arthroscopic & Related Surgery,Hybrid,3500.00,"3,190","2,800","423,540",No Match
2212-6287,Arthroscopy Techniques,Open access,975.00,890,780,"117,980",No Match
2666-061X,"Arthroscopy, Sports Medicine, and Rehabilitation",Open access,2000.00,"1,820","1,600","242,020",No Match
0004-3702,Artificial Intelligence,Hybrid,4070.00,"3,710","3,260","492,510",No Match
2589-7217,Artificial Intelligence in Agriculture,Subsidised,1100.00,"1,000",880,"133,110",No Match
2666-5441,Artificial Intelligence in Geosciences,Subsidised,**,**,**,**,No Match
0933-3657,Artificial Intelligence in Medicine,Hybrid,3230.00,"2,950","2,590","390,860",No Match
2667-3185,Artificial Intelligence in the Life Sciences,Open access,1500.00,"1,370","1,200","181,520",No Match
2667-1115,Asia and the Global Economy,Open access,1500.00,"1,370","1,200","181,520",No Match
1029-3132,Asia Pacific Management Review,Open access,1600.00,"1,460","1,280","193,620",No Match
2162-0989,Asia-Pacific Journal of Ophthalmology,Open access,1950.00,"1,780","1,560","235,970",No Match
2214-6873,"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",Open access,**,**,**,**,No Match
1818-0876,Asian Journal of Pharmaceutical Sciences,Subsidised,**,**,**,**,No Match
1876-2018,Asian Journal of Psychiatry,Hybrid,3650.00,"3,330","2,920","441,690",No Match
1568-4849,Asian Journal of Social Science,Hybrid,2400.00,"2,190","1,920","290,420",No Match
2667-2391,Asian Journal of Sport and Exercise Psychology,Subsidised,**,**,**,**,No Match
1015-9584,Asian Journal of Surgery,Open access,**,**,**,**,No Match
2214-3882,Asian Journal of Urology,Subsidised,**,**,**,**,No Match
1976-1317,Asian Nursing Research,Open access,1000.00,910,800,"121,010",No Match
2185-5560,Asian Transport Studies,Open access,1200.00,"1,090",960,"145,210",No Match
2949-6888,Aspects of Molecular Medicine,Open access,2650.00,"2,420","2,120","320,680",No Match
1075-2935,Assessing Writing,Hybrid,3230.00,"2,950","2,590","390,860",No Match
2213-1337,Astronomy and Computing,Hybrid,2190.00,"2,000","1,750","265,010",No Match
0927-6505,Astroparticle Physics,Hybrid,2790.00,"2,540","2,230","337,620",No Match
0212-6567,Atención Primaria,Open access,1520.00,"1,390","1,220","183,940",No Match
2605-0730,Atención Primaria Práctica,Open access,1290.00,"1,180","1,030","156,100",No Match
0021-9150,Atherosclerosis,Hybrid,3790.00,"3,460","3,030","458,630",No Match
2667-0895,Atherosclerosis Plus,Open access,2380.00,"2,170","1,910","288,000",No Match
1674-2834,Atmospheric and Oceanic Science Letters,Subsidised,**,**,**,**,No Match
1352-2310,Atmospheric Environment,Hybrid,2830.00,"2,580","2,270","342,460",No Match
2590-1621,Atmospheric Environment: X,Open access,1810.00,"1,650","1,450","219,030",No Match
1309-1042,Atmospheric Pollution Research,Hybrid,2570.00,"2,340","2,060","311,000",No Match
0169-8095,Atmospheric Research,Hybrid,3210.00,"2,930","2,570","388,440",No Match
0092-640X,Atomic Data and Nuclear Data Tables,Hybrid,2910.00,"2,650","2,330","352,140",No Match
0385-8146,Auris Nasus Larynx,Hybrid,3520.00,"3,210","2,820","425,960",No Match
2588-994X,Australasian Emergency Care,Hybrid,2160.00,"1,970","1,730","261,380",No Match
1326-0200,Australian and New Zealand Journal of Public Health,Open access,2600.00,"2,370","2,080","314,630",No Match
1036-7314,Australian Critical Care,Hybrid,2900.00,"2,650","2,320","350,930",No Match
1568-9972,Autoimmunity Reviews,Hybrid,4590.00,"4,190","3,670","555,440",No Match
0005-1098,Automatica,Hybrid,3610.00,"3,290","2,890","436,850",No Match
0926-5805,Automation in Construction,Hybrid,5090.00,"4,640","4,070","615,940",No Match
1566-0702,Autonomic Neuroscience,Hybrid,3300.00,"3,010","2,640","399,330",No Match
2053-7166,Avian Research,Subsidised,**,**,**,**,No Match
1439-1791,Basic and Applied Ecology,Open access,1800.00,"1,640","1,440","217,820",No Match
2667-1603,BBA Advances,Open access,2350.00,"2,140","1,880","284,370",No Match
0005-7894,Behavior Therapy,Hybrid,3600.00,"3,280","2,880","435,640",No Match
0005-7967,Behaviour Research and Therapy,Hybrid,3480.00,"3,170","2,790","421,110",No Match
0166-4328,Behavioural Brain Research,Hybrid,3340.00,"3,050","2,670","404,170",No Match
0376-6357,Behavioural Processes,Hybrid,3450.00,"3,150","2,760","417,480",No Match
2772-4859,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",Subsidised,**,**,**,**,No Match
1521-6896,Best Practice & Research Clinical Anaesthesiology,Hybrid,3110.00,"2,840","2,490","376,340",No Match
1521-690X,Best Practice & Research Clinical Endocrinology & Metabolism,Hybrid,4150.00,"3,790","3,320","502,190",No Match
1521-6918,Best Practice & Research Clinical Gastroenterology,Hybrid,3390.00,"3,090","2,710","410,220",No Match
1521-6926,Best Practice & Research Clinical Haematology,Hybrid,3620.00,"3,300","2,900","438,060",No Match
1521-6934,Best Practice & Research Clinical Obstetrics & Gynaecology,Hybrid,4300.00,"3,920","3,440","520,340",No Match
1521-6942,Best Practice & Research Clinical Rheumatology,Hybrid,4030.00,"3,680","3,230","487,670",No Match
2214-5796,Big Data Research,Hybrid,2760.00,"2,520","2,210","333,990",No Match
2212-6198,Bioactive Carbohydrates and Dietary Fibre,Hybrid,3120.00,"2,850","2,500","377,550",No Match
2452-199X,Bioactive Materials,Open access,2000.00,"1,820","1,600","242,020",No Match
1878-8181,Biocatalysis and Agricultural Biotechnology,Hybrid,3290.00,"3,000","2,630","398,120",No Match
0006-291X,Biochemical and Biophysical Research Communications,Hybrid,2880.00,"2,630","2,310","348,510",No Match
1369-703X,Biochemical Engineering Journal,Hybrid,3700.00,"3,370","2,960","447,740",No Match
0006-2952,Biochemical Pharmacology,Hybrid,3440.00,"3,140","2,750","416,270",No Match
0305-1978,Biochemical Systematics and Ecology,Hybrid,3340.00,"3,050","2,670","404,170",No Match
2405-5808,Biochemistry and Biophysics Reports,Open access,2630.00,"2,400","2,110","318,260",No Match
0005-2728,Biochimica et Biophysica Acta (BBA) - Bioenergetics,Hybrid,4390.00,"4,000","3,510","531,230",No Match
0005-2736,Biochimica et Biophysica Acta (BBA) - Biomembranes,Hybrid,3700.00,"3,370","2,960","447,740",No Match
1874-9399,Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,Hybrid,3730.00,"3,400","2,990","451,370",No Match
0304-4165,Biochimica et Biophysica Acta (BBA) - General Subjects,Hybrid,3210.00,"2,930","2,570","388,440",No Match
1388-1981,Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids,Hybrid,3450.00,"3,150","2,760","417,480",No Match
0925-4439,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,Hybrid,3810.00,"3,480","3,050","461,050",No Match
0167-4889,Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,Hybrid,3690.00,"3,370","2,950","446,530",No Match
1570-9639,Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,Hybrid,3730.00,"3,400","2,990","451,370",No Match
0304-419X,Biochimica et Biophysica Acta (BBA) - Reviews on Cancer,Hybrid,4790.00,"4,370","3,830","579,640",No Match
0300-9084,Biochimie,Hybrid,2880.00,"2,630","2,310","348,510",No Match
0208-5216,Biocybernetics and Biomedical Engineering,Hybrid,2950.00,"2,690","2,360","356,980",No Match
1567-5394,Bioelectrochemistry,Hybrid,3680.00,"3,360","2,950","445,320",No Match
2590-2075,Biofilm,Open access,3060.00,"2,790","2,450","370,290",No Match
0006-3207,Biological Conservation,Hybrid,3570.00,"3,260","2,860","432,010",No Match
1049-9644,Biological Control,Open access,3300.00,"3,010","2,640","399,330",No Match
0006-3223,Biological Psychiatry,Hybrid,4990.00,"4,550","3,990","603,840",No Match
2667-1743,Biological Psychiatry Global Open Science,Open access,3260.00,"2,970","2,610","394,490",No Match
2451-9022,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,Hybrid,3710.00,"3,380","2,970","448,950",No Match
0301-0511,Biological Psychology,Hybrid,3340.00,"3,050","2,670","404,170",No Match
1045-1056,Biologicals,Hybrid,3000.00,"2,740","2,400","363,030",No Match
2666-1446,Biomarkers in Neuropsychiatry,Open access,2860.00,"2,610","2,290","346,090",No Match
